STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        303;2024103100;   10;   3.7; 280;eor
        303;2024103101;   10;   3.6; 280;eor
        303;2024103102;   10;   3.7; 280;eor
        303;2024103103;   10;   3.0; 280;eor
        303;2024103104;   10;   2.0; 280;eor
        303;2024103105;   10;   2.3; 280;eor
        303;2024103106;   10;   3.3; 270;eor
        303;2024103107;   10;   2.1; 270;eor
        303;2024103108;   10;   2.1; 260;eor
        303;2024103109;   10;   2.9; 240;eor
        303;2024103110;   10;   3.6; 270;eor
        303;2024103111;   10;   3.9; 260;eor
        303;2024103112;   10;   4.5; 260;eor
        303;2024103113;   10;   4.0; 270;eor
        303;2024103114;   10;   3.3; 270;eor
        303;2024103115;   10;   3.8; 260;eor
        303;2024103116;   10;   4.2; 260;eor
        303;2024103117;   10;   3.0; 240;eor
        303;2024103118;   10;  -999; 240;eor
        303;2024103119;   10;   4.5; 270;eor
        303;2024103120;   10;   3.0; 270;eor
        303;2024103121;   10;   2.9; 260;eor
        303;2024103122;   10;   3.2; 260;eor
        303;2024103123;   10;   3.3; 260;eor
        303;2024110100;   10;   4.4; 260;eor
        303;2024110101;   10;   4.4; 270;eor
        303;2024110102;   10;   4.6; 260;eor
        303;2024110103;   10;   4.1; 260;eor
        303;2024110104;   10;   4.7; 260;eor
        303;2024110105;   10;   4.4; 260;eor
        303;2024110106;   10;   5.7; 260;eor
        303;2024110107;   10;   6.3; 260;eor
        303;2024110108;   10;   4.9; 260;eor
        303;2024110109;   10;   4.6; 260;eor
        303;2024110110;   10;   5.0; 260;eor
        303;2024110111;   10;   5.6; 260;eor
        303;2024110112;   10;   6.1; 270;eor
        303;2024110113;   10;   6.0; 270;eor
        303;2024110114;   10;   5.5; 260;eor
        303;2024110115;   10;   5.0; 270;eor
        303;2024110116;   10;   4.6; 280;eor
        303;2024110117;   10;   6.1; 280;eor
        303;2024110118;   10;   5.8; 280;eor
        303;2024110119;   10;   6.4; 280;eor
        303;2024110120;   10;   5.4; 270;eor
        303;2024110121;   10;   5.1; 270;eor
        303;2024110122;   10;   5.3; 270;eor
        303;2024110123;   10;   5.1; 260;eor
        303;2024110200;   10;   4.9; 270;eor
        303;2024110201;   10;   5.1; 270;eor
        303;2024110202;   10;   4.7; 280;eor
        303;2024110203;   10;   3.6; 300;eor
        303;2024110204;   10;   1.6; 350;eor
        303;2024110205;   10;   1.5; 340;eor
        303;2024110206;   10;   1.1; 340;eor
        303;2024110207;   10;   1.1; 320;eor
        303;2024110208;   10;   1.5; 300;eor
        303;2024110209;   10;   1.5; 330;eor
        303;2024110210;   10;   1.6; 340;eor
        303;2024110211;   10;   1.2; 350;eor
        303;2024110212;   10;   1.4; 360;eor
        303;2024110213;   10;   1.3; 340;eor
        303;2024110214;   10;   1.6;  10;eor
        303;2024110215;   10;   1.1; 360;eor
        303;2024110216;   10;   0.4; 350;eor
        303;2024110217;   10;   0.4; 230;eor
        303;2024110218;   10;   0.7; 250;eor
        303;2024110219;   10;   0.6; 280;eor
        303;2024110220;   10;   0.7; 120;eor
        303;2024110221;   10;   0.8; 110;eor
        303;2024110222;   10;   0.9; 100;eor
        303;2024110223;   10;   1.1; 110;eor
        303;2024110300;   10;   1.0; 100;eor
        303;2024110301;   10;   1.0; 100;eor
        303;2024110302;   10;   0.8; 130;eor
        303;2024110303;   10;   0.8; 110;eor
        303;2024110304;   10;   1.0; 120;eor
        303;2024110305;   10;   1.2; 100;eor
        303;2024110306;   10;   0.5; 110;eor
        303;2024110307;   10;   0.7; 110;eor
        303;2024110308;   10;   0.7; 130;eor
        303;2024110309;   10;   0.9; 110;eor
        303;2024110310;   10;   0.8; 110;eor
        303;2024110311;   10;   0.8; 190;eor
        303;2024110312;   10;   2.1; 250;eor
        303;2024110313;   10;   1.8; 240;eor
        303;2024110314;   10;   2.5; 260;eor
        303;2024110315;   10;   3.2; 260;eor
        303;2024110316;   10;   3.5; 270;eor
        303;2024110317;   10;   3.0; 260;eor
        303;2024110318;   10;   2.7; 270;eor
        303;2024110319;   10;   2.6; 280;eor
        303;2024110320;   10;   1.6; 300;eor
        303;2024110321;   10;   1.3; 280;eor
        303;2024110322;   10;   1.6; 280;eor
        303;2024110323;   10;   2.2; 280;eor
        303;2024110400;   10;   2.1; 290;eor
        303;2024110401;   10;   2.2; 290;eor
        303;2024110402;   10;   1.9; 290;eor
        303;2024110403;   10;   1.6; 280;eor
        303;2024110404;   10;   1.9; 280;eor
        303;2024110405;   10;   1.8; 280;eor
        303;2024110406;   10;   2.0; 290;eor
        303;2024110407;   10;   2.3; 280;eor
        303;2024110408;   10;   1.7; 280;eor
        303;2024110409;   10;  -999; 270;eor
        303;2024111109;   10;   1.8; 130;eor
        303;2024111110;   10;   1.7; 120;eor
        303;2024111111;   10;   2.2; 130;eor
        303;2024111112;   10;   2.4; 120;eor
        303;2024111113;   10;   2.0; 120;eor
        303;2024111114;   10;   2.3; 120;eor
        303;2024111115;   10;   2.2; 130;eor
        303;2024111116;   10;   2.2; 110;eor
        303;2024111117;   10;   1.8; 110;eor
        303;2024111118;   10;   1.7; 100;eor
        303;2024111119;   10;   2.3; 100;eor
        303;2024111120;   10;   1.9; 100;eor
        303;2024111121;   10;   1.7; 100;eor
        303;2024111122;   10;   1.9;  90;eor
        303;2024111123;   10;   1.9;  80;eor
        303;2024111200;   10;   1.7;  80;eor
        303;2024111201;   10;   1.9;  70;eor
        303;2024111202;   10;   1.5;  80;eor
        303;2024111203;   10;   1.3;  80;eor
        303;2024111204;   10;   1.4;  80;eor
        303;2024111205;   10;   1.8;  80;eor
        303;2024111206;   10;   1.5;  70;eor
        303;2024111207;   10;   1.3;  60;eor
        303;2024111208;   10;   1.5;  80;eor
        303;2024111209;   10;   1.2;  70;eor
        303;2024111210;   10;   0.9;  90;eor
        303;2024111211;   10;   0.9; 150;eor
        303;2024111212;   10;   0.7; 140;eor
        303;2024111213;   10;   0.8;  30;eor
        303;2024111214;   10;   1.4;  40;eor
        303;2024111215;   10;   1.1;  20;eor
        303;2024111216;   10;   1.2;  10;eor
        303;2024111217;   10;   0.5; 360;eor
        303;2024111218;   10;   0.7;  30;eor
        303;2024111219;   10;   1.1;  20;eor
        303;2024111220;   10;   0.8; 310;eor
        303;2024111221;   10;   0.8; 340;eor
        303;2024111222;   10;   0.7; 320;eor
        303;2024111223;   10;   1.0; 310;eor
        303;2024111300;   10;   1.1; 280;eor
        303;2024111301;   10;   1.4; 270;eor
        303;2024111302;   10;   2.0; 270;eor
        303;2024111303;   10;   1.9; 250;eor
        303;2024111304;   10;   1.1; 250;eor
        303;2024111305;   10;   1.3; 260;eor
        303;2024111306;   10;   1.6; 250;eor
        303;2024111307;   10;   2.0; 260;eor
        303;2024111308;   10;   1.8; 280;eor
        303;2024111309;   10;   1.9; 290;eor
        303;2024111310;   10;   1.4; 320;eor
        303;2024111311;   10;   1.6; 320;eor
        303;2024111312;   10;   1.6; 320;eor
        303;2024111313;   10;   1.5; 330;eor
        303;2024111314;   10;   1.2; 320;eor
        303;2024111315;   10;   1.0; 310;eor
        303;2024111316;   10;   0.9; 270;eor
        303;2024111317;   10;   0.9; 230;eor
        303;2024111318;   10;   0.6; 190;eor
        303;2024111319;   10;   1.2; 230;eor
        303;2024111320;   10;   1.3; 250;eor
